Time,Latitude, Longitute
10709621907,42.2745976,-71.8038086
10729893923,42.2745924,-71.8037936
10749582053,42.2745884,-71.8037797
10769400120,42.2745846,-71.8037678
10789505959,42.2745812,-71.8037576
10809487105,42.2745812,-71.8037576
10829652071,42.2745783,-71.8037489
10849699021,42.2745756,-71.8037412
10869759083,42.2745735,-71.8037344
10889429093,42.2745714,-71.8037286
10910696984,42.2745714,-71.8037286
10929613114,42.2745695,-71.8037239
10949898005,42.2745681,-71.8037193
10969607115,42.2745667,-71.8037156
10989601136,42.2745655,-71.8037116
11010318995,42.2745655,-71.8037116
11029895068,42.2745644,-71.8037077
11049528122,42.2745632,-71.8037035
11069710017,42.274562,-71.8036994
11090003968,42.2745608,-71.8036951
11109928132,42.2745608,-71.8036951
11129676104,42.2745597,-71.8036906
11149608136,42.2745588,-71.8036851
11169564963,42.2745583,-71.8036789
11189532996,42.2745578,-71.8036725
11209646941,42.2745578,-71.8036725
11229722023,42.2745584,-71.8036654
11249890089,42.2745591,-71.8036577
11269979954,42.2745603,-71.8036488
11289479971,42.2745632,-71.8036402
11327230931,42.2745632,-71.8036402
11331036091,42.2745666,-71.803631
11349461079,42.274571,-71.8036218
11369420052,42.2745766,-71.8036128
11389379025,42.2745808,-71.8036086
11410161972,42.2745808,-71.8036086
11429356099,42.2745877,-71.8036017
11449275017,42.2745971,-71.8035939
11469330073,42.2746075,-71.8035868
11489675999,42.2746186,-71.8035804
11510057927,42.2746186,-71.8035804
11529804945,42.27463,-71.8035725
11549540997,42.2746416,-71.8035656
11569487095,42.2746536,-71.8035593
11589519024,42.2746661,-71.8035519
11610430003,42.2746661,-71.8035519
11629854918,42.2746793,-71.8035431
11649544955,42.2746927,-71.8035342
11669852019,42.2747063,-71.8035246
11689466954,42.2747201,-71.8035154
11709617138,42.2747201,-71.8035154
11730324030,42.2747342,-71.803506
11749450922,42.2747486,-71.8034957
11769405127,42.2747634,-71.8034857
11789535046,42.2747782,-71.8034749
11810288907,42.2747782,-71.8034749
11829585076,42.2747933,-71.8034638
11849996090,42.2748085,-71.8034532
11869322062,42.274824,-71.8034437
11889518977,42.2748398,-71.8034325
11910305977,42.2748398,-71.8034325
11929537058,42.2748557,-71.8034226
11949486018,42.2748722,-71.803412
11969347001,42.2748887,-71.8034007
11989586115,42.2749054,-71.803389
12010203124,42.2749054,-71.803389
12029562951,42.2749224,-71.8033769
12049772025,42.2749392,-71.8033661
12069540024,42.2749565,-71.8033541
12089605093,42.2749737,-71.8033423
12110158921,42.2749737,-71.8033423
12129451037,42.2749913,-71.8033301
12149457932,42.2750089,-71.8033177
12169327975,42.2750267,-71.8033053
12190038920,42.2750446,-71.803293
12209512949,42.2750446,-71.803293
12229418993,42.2750629,-71.8032807
12250478030,42.2750812,-71.8032686
12269344092,42.2750996,-71.8032562
12289878130,42.2751181,-71.8032432
12309545041,42.2751181,-71.8032432
12329455138,42.2751366,-71.8032304
12349290133,42.2751553,-71.8032177
12369285107,42.275174,-71.8032045
12389769078,42.275193,-71.803191
12409521103,42.275193,-71.803191
12429958106,42.275212,-71.8031777
12449575901,42.2752311,-71.8031646
12469578982,42.2752502,-71.8031514
12499109030,42.2752694,-71.8031379
12509522915,42.2752694,-71.8031379
12529634953,42.2752883,-71.8031247
12549340964,42.2753073,-71.8031115
12569394112,42.2753265,-71.8030982
12589932919,42.2753456,-71.8030843
12610104084,42.2753456,-71.8030843
12629596949,42.2753648,-71.803071
12649636031,42.2753838,-71.8030576
12669508934,42.2754029,-71.8030441
12690119029,42.2754216,-71.8030301
12709491969,42.2754216,-71.8030301
12729372979,42.2754403,-71.8030161
12749469996,42.2754587,-71.8030021
12769444943,42.2754768,-71.8029888
12789765120,42.2754946,-71.8029753
12810004950,42.2754946,-71.8029753
12829376936,42.2755123,-71.8029621
12849395037,42.2755293,-71.8029483
12869442940,42.2755458,-71.802934
12889513016,42.275562,-71.8029193
12910145045,42.275562,-71.8029193
12929546118,42.2755783,-71.8029046
12949616909,42.2755949,-71.80289
12969881058,42.2756115,-71.8028763
12990060091,42.2756286,-71.8028624
13009526015,42.2756286,-71.8028624
13029370070,42.2756458,-71.8028491
13049386025,42.2756634,-71.8028362
13069490910,42.2756812,-71.8028236
13089364052,42.2756993,-71.8028115
13110033989,42.2756993,-71.8028115
13129601956,42.2757177,-71.8027995
13149559021,42.275736,-71.8027877
13169415951,42.2757545,-71.8027762
13189428091,42.2757729,-71.8027643
13209787131,42.2757729,-71.8027643
13229332924,42.2757912,-71.8027523
13249387026,42.2758095,-71.8027403
13269422055,42.2758276,-71.8027282
13290493012,42.2758458,-71.802716
13309291125,42.2758458,-71.802716
13329489947,42.2758639,-71.8027036
13349373103,42.2758822,-71.8026919
13369694949,42.2759005,-71.8026799
13389966011,42.2759187,-71.8026678
13409636021,42.2759187,-71.8026678
13429399968,42.275937,-71.8026556
13449409962,42.2759552,-71.8026434
13469459057,42.2759733,-71.8026313
13489799023,42.2759911,-71.8026194
13509438038,42.2759911,-71.8026194
13529489041,42.2760087,-71.8026076
13549711943,42.2760257,-71.8025958
13569504023,42.2760423,-71.8025841
13589596034,42.2760583,-71.8025726
13609307051,42.2760583,-71.8025726
13629358054,42.276074,-71.8025614
13649488926,42.276089,-71.8025496
13669423104,42.2761033,-71.8025378
13705801011,42.2761171,-71.8025258
13714617968,42.2761171,-71.8025258
13729481936,42.2761301,-71.8025135
13749428988,42.2761422,-71.8025007
13769525052,42.2761534,-71.8024875
13789955140,42.2761636,-71.8024738
13809391976,42.2761636,-71.8024738
13829272032,42.2761734,-71.8024599
13849606038,42.2761819,-71.8024456
13869683981,42.27619,-71.8024317
13890012980,42.2761977,-71.8024181
13909621001,42.2761977,-71.8024181
13929518939,42.2762047,-71.8024046
13949517966,42.276211,-71.8023914
13969465971,42.2762166,-71.802379
13989255906,42.2762217,-71.8023674
14009781123,42.2762217,-71.8023674
14029345036,42.2762262,-71.802357
14049473048,42.2762304,-71.8023479
14069353104,42.2762334,-71.8023402
14089298010,42.2762357,-71.8023338
14109874964,42.2762357,-71.8023338
14129180909,42.276238,-71.8023278
14149261952,42.2762398,-71.8023224
14169405938,42.2762418,-71.8023172
14190102101,42.2762438,-71.8023118
14209317923,42.2762438,-71.8023118
14229546071,42.276245,-71.8023066
14249567032,42.276246,-71.8023014
14269393921,42.2762462,-71.8022963
14289819956,42.2762467,-71.8022911
14309411049,42.2762467,-71.8022911
14329477072,42.2762467,-71.8022855
14349402905,42.2762462,-71.8022791
14369832039,42.2762455,-71.8022726
14389979125,42.276244,-71.8022658
14409553051,42.276244,-71.8022658
14429455996,42.2762419,-71.8022585
14449569941,42.2762387,-71.8022515
14469424963,42.2762347,-71.8022442
14490091086,42.2762298,-71.8022368
14509545088,42.2762298,-71.8022368
14529359103,42.2762242,-71.8022297
14549438954,42.2762169,-71.8022231
14569896937,42.276209,-71.8022173
14589606047,42.2762003,-71.8022118
14609492064,42.2762003,-71.8022118
14629431963,42.2761904,-71.8022069
14649353028,42.2761799,-71.802202
14669985056,42.2761689,-71.8021976
14689496041,42.276157,-71.802193
14709564925,42.276157,-71.802193
14729555130,42.2761445,-71.8021886
14749860049,42.2761313,-71.8021841
14769330979,42.2761177,-71.8021792
14789302111,42.2761034,-71.8021745
14809417963,42.2761034,-71.8021745
14829442025,42.276089,-71.8021695
14854783059,42.2760742,-71.8021645
14869537116,42.2760592,-71.80216
14889265061,42.2760442,-71.8021556
14909326077,42.2760442,-71.8021556
14929260016,42.2760291,-71.8021513
14950139046,42.2760137,-71.8021472
14969444991,42.275998,-71.8021434
14989464045,42.2759824,-71.8021393
15009335041,42.2759824,-71.8021393
15029410124,42.2759663,-71.8021352
15049742938,42.2759498,-71.8021313
15069169999,42.2759335,-71.8021268
15089468003,42.2759167,-71.8021228
15109473944,42.2759167,-71.8021228
15129302979,42.2758997,-71.8021189
15149637938,42.2758829,-71.8021151
15169378043,42.2758657,-71.8021112
15189348937,42.2758482,-71.8021072
15209391118,42.2758482,-71.8021072
15229478121,42.2758306,-71.802103
15249804020,42.2758127,-71.802099
15270051003,42.2757949,-71.8020947
15289370060,42.2757769,-71.8020908
15309272051,42.2757769,-71.8020908
15329289914,42.2757589,-71.8020864
15349762917,42.2757406,-71.8020821
15369202137,42.2757225,-71.8020777
15389501095,42.2757041,-71.8020739
15409351111,42.2757041,-71.8020739
15429394007,42.2756855,-71.8020699
15450578928,42.2756669,-71.8020653
15469480038,42.2756482,-71.8020606
15489452124,42.2756297,-71.8020565
15509320021,42.2756297,-71.8020565
15529297114,42.2756115,-71.8020531
15549948931,42.2755932,-71.8020495
15569449902,42.2755749,-71.8020456
15589648962,42.2755569,-71.8020419
15609461070,42.2755569,-71.8020419
15629604102,42.2755389,-71.8020383
15649642945,42.2755214,-71.8020343
15669414044,42.2755038,-71.8020306
15689427138,42.2754864,-71.8020269
15709322930,42.2754864,-71.8020269
15729907990,42.2754695,-71.8020233
15749562026,42.2754526,-71.8020197
15769504071,42.2754359,-71.8020161
15789247990,42.2754195,-71.8020125
15809369088,42.2754195,-71.8020125
15829906941,42.2754032,-71.8020092
15849199057,42.2753873,-71.8020059
15869302989,42.275372,-71.8020028
15889550925,42.2753574,-71.802
15909169913,42.2753574,-71.802
15929296017,42.2753439,-71.8019972
15949073077,42.2753314,-71.8019945
15969352961,42.2753198,-71.8019909
15990015030,42.2753088,-71.8019873
16009356022,42.2753088,-71.8019873
16037267924,42.275298,-71.8019831
